LEVEL,DATAYEARS,AGENCYID,COUNTY,DISTRICT,SCHOOL,NAME,AVERAGE_COMPOSITE_SCORE,STUDENTS_WITH_COMPOSITE_SCORES
SC,20172018,17-0001-001,17,1,1,SIDNEY HIGH SCHOOL,20.6364,99
SC,20172018,17-0003-001,17,3,1,LEYTON HIGH SCHOOL,19.0833,12
SC,20172018,17-0009-001,17,9,1,POTTER-DIX JR/SR HIGH SCHOOL,21.4,15
SC,20172018,18-0002-001,18,2,1,SUTTON SECONDARY SCHOOL,23.5263,38
SC,20172018,18-0011-001,18,11,1,HARVARD HIGH SCHOOL,16.2917,24
SC,20172018,19-0039-001,19,39,1,LEIGH HIGH SCHOOL,22.2727,11
SC,20172018,19-0058-001,19,58,1,CLARKSON JR-SR HIGH SCHOOL,20.5,14
SC,20172018,19-0070-001,19,70,1,HOWELLS SENIOR HIGH SCHOOL,19.2143,28
SC,20172018,19-0123-001,19,123,1,SCHUYLER CENTRAL HIGH SCHOOL,16.208,125
SC,20172018,20-0001-001,20,1,1,WEST POINT-BEEMER HIGH SCHOOL,19.9492,59
SC,20172018,20-0020-001,20,20,1,BANCROFT-ROSALIE JR/SR HIGH SCHOOL,19.2,15
SC,20172018,20-0030-001,20,30,1,WISNER-PILGER HIGH SCHOOL,20.4286,28
SC,20172018,21-0015-001,21,15,1,ANSELMO-MERNA HIGH SCHOOL,20.5,18
SC,20172018,21-0025-001,21,25,1,BROKEN BOW HIGH SCHOOL,21.098,51
SC,20172018,21-0044-001,21,44,1,ANSLEY HIGH SCHOOL,19.4667,15
SC,20172018,21-0089-001,21,89,1,ARNOLD HIGH SCHOOL,20.6429,14
SC,20172018,21-0180-001,21,180,1,CALLAWAY HIGH SCHOOL,21.1667,18
SC,20172018,22-0011-001,22,11,1,SOUTH SIOUX SENIOR HIGH SCHOOL,17.5914,279
SC,20172018,22-0031-001,22,31,1,HOMER HIGH SCHOOL,18.3333,21
SC,20172018,23-0002-001,23,2,1,CHADRON SENIOR HIGH SCHOOL,19.8636,66
SC,20172018,23-0071-001,23,71,1,CRAWFORD HIGH SCHOOL,17.3158,19
SC,20172018,24-0001-001,24,1,1,LEXINGTON HIGH SCHOOL,16.7238,210
SC,20172018,24-0004-001,24,4,1,OVERTON HIGH SCHOOL,20.4211,19
SC,20172018,24-0011-001,24,11,1,COZAD HIGH SCHOOL,18.7821,78
SC,20172018,24-0020-001,24,20,1,GOTHENBURG SECONDARY SCHOOL,20.1528,72
SC,20172018,24-0101-001,24,101,1,JUNIOR-SENIOR HIGH AT SUMNER,20.5833,12
SC,20172018,25-0025-001,25,25,1,CREEK VALLEY HIGH SCHOOL,18.5833,12
SC,20172018,25-0095-001,25,95,1,SOUTH PLATTE HIGH SCHOOL,19.2727,11
SC,20172018,26-0001-001,26,1,1,PONCA HIGH SCHOOL,22.2286,35
SC,20172018,26-0070-001,26,70,1,ALLEN HIGH SCHOOL,18.9091,22
SC,20172018,26-0561-001,26,561,1,EMERSON-HUBBARD HIGH SCHOOL,19.125,16
SC,20172018,27-0001-001,27,1,1,FREMONT SENIOR HIGH SCHOOL,18.7278,360
SC,20172018,27-0062-001,27,62,1,SCRIBNER-SNYDER SECONDARY SCH,17.1875,16
SC,20172018,27-0594-001,27,594,1,LOGAN VIEW JR/SR HIGH SCHOOL,21.0938,32
SC,20172018,27-0595-001,27,595,1,NORTH BEND CENTRAL HIGH SCHOOL,22.5,46
SC,20172018,28-0001-001,28,1,1,BENSON MAGNET HIGH SCHOOL,14.6182,330
SC,20172018,28-0001-003,28,1,3,BRYAN HIGH SCHOOL,14.9531,405
SC,20172018,28-0001-005,28,1,5,BURKE HIGH SCHOOL,18.3838,469
SC,20172018,28-0001-007,28,1,7,CENTRAL HIGH SCHOOL,18.1682,636
SC,20172018,28-0001-009,28,1,9,OMAHA NORTH MAGNET HIGH SCHOOL,17.1597,432
SC,20172018,28-0001-011,28,1,11,OMAHA NORTHWEST MAGNET HIGH SCHOOL,15.7125,400
